Kernel,Filesize,Blocksize,Round,Write,Read
4.10.17-041017-generic,524288,512,1,14000000,22200000
4.10.17-041017-generic,524288,512,2,20900000,17700000
4.10.17-041017-generic,524288,512,3,18400000,18200000
4.10.17-041017-generic,524288,512,4,20100000,21600000
4.10.17-041017-generic,524288,512,5,20100000,37300000
4.10.17-041017-generic,524288,512,6,17800000,21000000
4.10.17-041017-generic,524288,512,7,20000000,39300000
4.10.17-041017-generic,524288,512,8,17000000,21500000
4.10.17-041017-generic,524288,512,9,18900000,17900000
4.10.17-041017-generic,524288,512,10,16600000,23100000
4.10.17-041017-generic,524288,512,11,13600000,21800000
4.10.17-041017-generic,524288,512,12,19500000,23300000
4.10.17-041017-generic,524288,512,13,14600000,23300000
4.10.17-041017-generic,524288,512,14,14300000,27600000
4.10.17-041017-generic,524288,512,15,18300000,24600000
4.10.17-041017-generic,524288,512,16,17100000,22900000
4.10.17-041017-generic,524288,512,17,13500000,18100000
4.10.17-041017-generic,524288,512,18,14200000,32400001
4.10.17-041017-generic,524288,512,19,13600000,22800000
4.10.17-041017-generic,524288,512,20,17000000,20000000
4.10.17-041017-generic,524288,512,21,19400000,27500000
4.10.17-041017-generic,524288,512,22,19000000,15400000
4.10.17-041017-generic,524288,512,23,14400000,34400000
4.10.17-041017-generic,524288,512,24,19800000,24900000
4.10.17-041017-generic,524288,512,25,13900000,20700000
4.10.17-041017-generic,524288,512,26,14100000,20800000
4.10.17-041017-generic,524288,512,27,20900000,19200000
4.10.17-041017-generic,524288,512,28,17500000,18900000
4.10.17-041017-generic,524288,512,29,20300000,16900000
4.10.17-041017-generic,524288,512,30,19800000,28400000
4.10.17-041017-generic,524288,512,31,20500000,19000000
4.10.17-041017-generic,524288,512,32,18100000,19100000
4.10.17-041017-generic,524288,512,33,14300000,18100000
4.10.17-041017-generic,524288,512,34,19100000,22000000
4.10.17-041017-generic,524288,512,35,15500000,21000000
4.10.17-041017-generic,524288,512,36,20400000,18600000
4.10.17-041017-generic,524288,512,37,19100000,40000000
4.10.17-041017-generic,524288,512,38,20100000,28400000
4.10.17-041017-generic,524288,512,39,14600000,19200000
4.10.17-041017-generic,524288,512,40,15100000,22000000
4.10.17-041017-generic,524288,512,41,19600000,20100000
4.10.17-041017-generic,524288,512,42,12200000,21800000
4.10.17-041017-generic,524288,512,43,13700000,21600000
4.10.17-041017-generic,524288,512,44,13600000,16300000
4.10.17-041017-generic,524288,512,45,15300000,24300000
4.10.17-041017-generic,524288,512,46,15500000,23800000
4.10.17-041017-generic,524288,512,47,14300000,23700000
4.10.17-041017-generic,524288,512,48,14500000,17100000
4.10.17-041017-generic,524288,512,49,15300000,36200000
4.10.17-041017-generic,524288,512,50,18200000,17100000
4.10.17-041017-generic,524288,512,51,20900000,17400000
4.10.17-041017-generic,524288,512,52,16400000,20000000
4.10.17-041017-generic,524288,512,53,20000000,17300000
4.10.17-041017-generic,524288,512,54,13800000,24200000
4.10.17-041017-generic,524288,512,55,14000000,21400000
4.10.17-041017-generic,524288,512,56,15200000,22800000
4.10.17-041017-generic,524288,512,57,14000000,22500000
4.10.17-041017-generic,524288,512,58,13000000,19200000
4.10.17-041017-generic,524288,512,59,15200000,35000000
4.10.17-041017-generic,524288,512,60,12700000,21700000
