Kernel,Filesize,Blocksize,Round,Write,Read
4.18.20-041820-generic,524288,512,1,16400000,26300000
4.18.20-041820-generic,524288,512,2,9200000,27000000
4.18.20-041820-generic,524288,512,3,10300000,14700000
4.18.20-041820-generic,524288,512,4,16800000,5500000
4.18.20-041820-generic,524288,512,5,15600000,19700000
4.18.20-041820-generic,524288,512,6,15600000,16900000
4.18.20-041820-generic,524288,512,7,9700000,18500000
4.18.20-041820-generic,524288,512,8,14400000,20900000
4.18.20-041820-generic,524288,512,9,14000000,18200000
4.18.20-041820-generic,524288,512,10,16000000,13100000
4.18.20-041820-generic,524288,512,11,14300000,24900000
4.18.20-041820-generic,524288,512,12,14400000,22800000
4.18.20-041820-generic,524288,512,13,15600000,16300000
4.18.20-041820-generic,524288,512,14,14600000,17000000
4.18.20-041820-generic,524288,512,15,14800000,13200000
4.18.20-041820-generic,524288,512,16,15300000,15900000
4.18.20-041820-generic,524288,512,17,10600000,17900000
4.18.20-041820-generic,524288,512,18,10400000,26100000
4.18.20-041820-generic,524288,512,19,17100000,26700000
4.18.20-041820-generic,524288,512,20,11000000,17500000
4.18.20-041820-generic,524288,512,21,10400000,13900000
4.18.20-041820-generic,524288,512,22,15900000,11600000
4.18.20-041820-generic,524288,512,23,14600000,25000000
4.18.20-041820-generic,524288,512,24,9700000,29100000
4.18.20-041820-generic,524288,512,25,16200001,13300000
4.18.20-041820-generic,524288,512,26,17300000,21500000
4.18.20-041820-generic,524288,512,27,13400000,29200000
4.18.20-041820-generic,524288,512,28,15100000,18500000
4.18.20-041820-generic,524288,512,29,15600000,16100000
4.18.20-041820-generic,524288,512,30,16000000,22800000
4.18.20-041820-generic,524288,512,31,17200000,22700000
4.18.20-041820-generic,524288,512,32,12900000,27100000
4.18.20-041820-generic,524288,512,33,8800000,20300000
4.18.20-041820-generic,524288,512,34,17000000,9400000
4.18.20-041820-generic,524288,512,35,17700000,25800000
4.18.20-041820-generic,524288,512,36,13800000,26800000
4.18.20-041820-generic,524288,512,37,11100000,17700000
4.18.20-041820-generic,524288,512,38,16500000,18600000
4.18.20-041820-generic,524288,512,39,16700001,23900000
4.18.20-041820-generic,524288,512,40,16900000,25500000
4.18.20-041820-generic,524288,512,41,15600000,17200000
4.18.20-041820-generic,524288,512,42,14300000,15900000
4.18.20-041820-generic,524288,512,43,15100000,17200000
4.18.20-041820-generic,524288,512,44,15900000,22200000
4.18.20-041820-generic,524288,512,45,9700000,15700000
4.18.20-041820-generic,524288,512,46,12100000,28800000
4.18.20-041820-generic,524288,512,47,14700000,25900000
4.18.20-041820-generic,524288,512,48,10300000,28800000
4.18.20-041820-generic,524288,512,49,15700000,14300000
4.18.20-041820-generic,524288,512,50,11800000,16900000
4.18.20-041820-generic,524288,512,51,15300000,27900000
4.18.20-041820-generic,524288,512,52,11300000,22700000
4.18.20-041820-generic,524288,512,53,14800000,15400000
4.18.20-041820-generic,524288,512,54,15800000,25600000
4.18.20-041820-generic,524288,512,55,10900000,23800000
4.18.20-041820-generic,524288,512,56,15900000,19600000
4.18.20-041820-generic,524288,512,57,9900000,15800000
4.18.20-041820-generic,524288,512,58,17400000,27300000
4.18.20-041820-generic,524288,512,59,11800000,24500000
4.18.20-041820-generic,524288,512,60,14900000,28100000
4.18.20-041820-generic,524288,512,61,10800000,14600000
4.18.20-041820-generic,524288,512,62,13900000,24400000
4.18.20-041820-generic,524288,512,63,17200000,22000000
4.18.20-041820-generic,524288,512,64,8500000,15900000
4.18.20-041820-generic,524288,512,65,15500000,15300000
4.18.20-041820-generic,524288,512,66,14600000,13900000
4.18.20-041820-generic,524288,512,67,17100000,17900000
4.18.20-041820-generic,524288,512,68,17500000,24200000
4.18.20-041820-generic,524288,512,69,11600000,17200000
4.18.20-041820-generic,524288,512,70,15500000,14900000
4.18.20-041820-generic,524288,512,71,11700000,12900000
4.18.20-041820-generic,524288,512,72,16900000,25000000
4.18.20-041820-generic,524288,512,73,15000000,14000000
4.18.20-041820-generic,524288,512,74,17000000,19700000
4.18.20-041820-generic,524288,512,75,15700000,29400000
4.18.20-041820-generic,524288,512,76,17100000,20800000
4.18.20-041820-generic,524288,512,77,10100000,21000000
4.18.20-041820-generic,524288,512,78,10700000,22100000
4.18.20-041820-generic,524288,512,79,17600000,19500000
4.18.20-041820-generic,524288,512,80,17400000,21900000
4.18.20-041820-generic,524288,512,81,15200000,20100000
4.18.20-041820-generic,524288,512,82,16600000,21000000
4.18.20-041820-generic,524288,512,83,15300000,16800000
4.18.20-041820-generic,524288,512,84,16400000,11600000
4.18.20-041820-generic,524288,512,85,13600000,19800000
4.18.20-041820-generic,524288,512,86,11500000,19900000
4.18.20-041820-generic,524288,512,87,11300000,7000000
4.18.20-041820-generic,524288,512,88,8700000,14900000
4.18.20-041820-generic,524288,512,89,16100000,22100000
4.18.20-041820-generic,524288,512,90,5100000,15800000
4.18.20-041820-generic,524288,512,91,16200001,13100000
4.18.20-041820-generic,524288,512,92,16300000,14500000
4.18.20-041820-generic,524288,512,93,14900000,25500000
4.18.20-041820-generic,524288,512,94,14700000,23800000
4.18.20-041820-generic,524288,512,95,9000000,17900000
4.18.20-041820-generic,524288,512,96,14600000,17900000
4.18.20-041820-generic,524288,512,97,14700000,29000000
4.18.20-041820-generic,524288,512,98,15600000,14600000
4.18.20-041820-generic,524288,512,99,14600000,23800000
4.18.20-041820-generic,524288,512,100,15100000,16200001
4.18.20-041820-generic,524288,2048,1,13500000,25500000
4.18.20-041820-generic,524288,2048,2,17600000,32200000
4.18.20-041820-generic,524288,2048,3,16800000,24900000
4.18.20-041820-generic,524288,2048,4,18400000,23200000
4.18.20-041820-generic,524288,2048,5,12900000,16200001
4.18.20-041820-generic,524288,2048,6,12900000,29100000
4.18.20-041820-generic,524288,2048,7,13300000,25000000
4.18.20-041820-generic,524288,2048,8,15200000,30400000
4.18.20-041820-generic,524288,2048,9,17400000,19300000
4.18.20-041820-generic,524288,2048,10,11400000,16400000
4.18.20-041820-generic,524288,2048,11,15500000,12200000
4.18.20-041820-generic,524288,2048,12,11500000,16300000
4.18.20-041820-generic,524288,2048,13,16100000,15700000
4.18.20-041820-generic,524288,2048,14,10300000,20300000
4.18.20-041820-generic,524288,2048,15,15900000,10900000
4.18.20-041820-generic,524288,2048,16,16900000,24200000
4.18.20-041820-generic,524288,2048,17,14500000,27000000
4.18.20-041820-generic,524288,2048,18,13000000,24500000
4.18.20-041820-generic,524288,2048,19,14000000,21900000
4.18.20-041820-generic,524288,2048,20,18500000,28300000
4.18.20-041820-generic,524288,2048,21,11400000,32100000
4.18.20-041820-generic,524288,2048,22,15400000,17700000
4.18.20-041820-generic,524288,2048,23,15700000,23700000
4.18.20-041820-generic,524288,2048,24,15300000,25800000
4.18.20-041820-generic,524288,2048,25,14700000,25900000
4.18.20-041820-generic,524288,2048,26,13800000,21900000
4.18.20-041820-generic,524288,2048,27,16700001,20600000
4.18.20-041820-generic,524288,2048,28,14200000,22100000
4.18.20-041820-generic,524288,2048,29,15600000,25600000
4.18.20-041820-generic,524288,2048,30,11200000,16700001
4.18.20-041820-generic,524288,2048,31,14500000,26300000
4.18.20-041820-generic,524288,2048,32,16000000,26800000
4.18.20-041820-generic,524288,2048,33,13100000,23100000
4.18.20-041820-generic,524288,2048,34,11200000,20600000
4.18.20-041820-generic,524288,2048,35,11700000,17200000
4.18.20-041820-generic,524288,2048,36,14800000,9000000
4.18.20-041820-generic,524288,2048,37,15900000,17800000
4.18.20-041820-generic,524288,2048,38,8700000,14200000
4.18.20-041820-generic,524288,2048,39,13900000,19500000
4.18.20-041820-generic,524288,2048,40,11700000,30200000
4.18.20-041820-generic,524288,2048,41,17700000,19400000
4.18.20-041820-generic,524288,2048,42,14900000,24100000
4.18.20-041820-generic,524288,2048,43,13800000,19700000
4.18.20-041820-generic,524288,2048,44,12600000,23600000
4.18.20-041820-generic,524288,2048,45,15100000,21600000
4.18.20-041820-generic,524288,2048,46,11500000,28300000
4.18.20-041820-generic,524288,2048,47,15400000,14700000
4.18.20-041820-generic,524288,2048,48,13900000,19800000
4.18.20-041820-generic,524288,2048,49,11900000,19400000
4.18.20-041820-generic,524288,2048,50,14100000,14800000
4.18.20-041820-generic,524288,2048,51,16200001,16200001
4.18.20-041820-generic,524288,2048,52,15200000,15600000
4.18.20-041820-generic,524288,2048,53,16200001,14300000
4.18.20-041820-generic,524288,2048,54,17700000,16300000
4.18.20-041820-generic,524288,2048,55,9600000,29700000
4.18.20-041820-generic,524288,2048,56,15500000,21300000
4.18.20-041820-generic,524288,2048,57,15500000,22200000
4.18.20-041820-generic,524288,2048,58,14400000,10300000
4.18.20-041820-generic,524288,2048,59,16800000,22700000
4.18.20-041820-generic,524288,2048,60,12000000,13400000
4.18.20-041820-generic,524288,2048,61,14400000,13200000
4.18.20-041820-generic,524288,2048,62,16000000,23000000
4.18.20-041820-generic,524288,2048,63,13300000,20200000
4.18.20-041820-generic,524288,2048,64,17400000,21900000
4.18.20-041820-generic,524288,2048,65,11500000,17800000
4.18.20-041820-generic,524288,2048,66,15000000,27500000
4.18.20-041820-generic,524288,2048,67,5500000,15600000
4.18.20-041820-generic,524288,2048,68,14200000,22900000
4.18.20-041820-generic,524288,2048,69,13800000,25000000
4.18.20-041820-generic,524288,2048,70,14900000,28100000
4.18.20-041820-generic,524288,2048,71,14200000,15400000
4.18.20-041820-generic,524288,2048,72,14900000,14900000
4.18.20-041820-generic,524288,2048,73,15600000,21500000
4.18.20-041820-generic,524288,2048,74,15900000,22100000
4.18.20-041820-generic,524288,2048,75,14000000,17300000
4.18.20-041820-generic,524288,2048,76,16700001,24900000
4.18.20-041820-generic,524288,2048,77,11900000,26500000
4.18.20-041820-generic,524288,2048,78,17400000,25900000
4.18.20-041820-generic,524288,2048,79,17900000,19500000
4.18.20-041820-generic,524288,2048,80,17300000,19900000
4.18.20-041820-generic,524288,2048,81,11800000,20200000
