Kernel,Filesize,Blocksize,Round,Write,Read
4.19.11-041911-generic,524288,512,1,16200001,29500000
4.19.11-041911-generic,524288,512,2,16000000,16500000
4.19.11-041911-generic,524288,512,3,12600000,25100000
4.19.11-041911-generic,524288,512,4,16700001,15800000
4.19.11-041911-generic,524288,512,5,16400000,23800000
4.19.11-041911-generic,524288,512,6,18000000,21100000
4.19.11-041911-generic,524288,512,7,15400000,14800000
4.19.11-041911-generic,524288,512,8,17300000,21600000
4.19.11-041911-generic,524288,512,9,16000000,18600000
4.19.11-041911-generic,524288,512,10,10700000,16000000
4.19.11-041911-generic,524288,512,11,16100000,23700000
4.19.11-041911-generic,524288,512,12,17400000,18300000
4.19.11-041911-generic,524288,512,13,13600000,19600000
4.19.11-041911-generic,524288,512,14,15200000,18900000
4.19.11-041911-generic,524288,512,15,17500000,25100000
4.19.11-041911-generic,524288,512,16,14000000,17800000
4.19.11-041911-generic,524288,512,17,13500000,24800000
4.19.11-041911-generic,524288,512,18,14000000,17400000
4.19.11-041911-generic,524288,512,19,13100000,21200000
4.19.11-041911-generic,524288,512,20,11700000,14800000
4.19.11-041911-generic,524288,512,21,17300000,12400000
4.19.11-041911-generic,524288,512,22,16400000,16500000
4.19.11-041911-generic,524288,512,23,11900000,24500000
4.19.11-041911-generic,524288,512,24,17800000,21400000
4.19.11-041911-generic,524288,512,25,10100000,19400000
4.19.11-041911-generic,524288,512,26,13900000,26000000
4.19.11-041911-generic,524288,512,27,13700000,17600000
4.19.11-041911-generic,524288,512,28,16500000,23600000
4.19.11-041911-generic,524288,512,29,16500000,15200000
4.19.11-041911-generic,524288,512,30,13000000,17700000
4.19.11-041911-generic,524288,512,31,12300000,24000000
4.19.11-041911-generic,524288,512,32,12900000,15800000
4.19.11-041911-generic,524288,512,33,9500000,14600000
4.19.11-041911-generic,524288,512,34,17500000,20000000
4.19.11-041911-generic,524288,512,35,15800000,17000000
4.19.11-041911-generic,524288,512,36,13800000,19000000
4.19.11-041911-generic,524288,512,37,14000000,17100000
4.19.11-041911-generic,524288,512,38,15100000,17000000
4.19.11-041911-generic,524288,512,39,12600000,13700000
4.19.11-041911-generic,524288,512,40,12400000,16100000
4.19.11-041911-generic,524288,512,41,11800000,14600000
4.19.11-041911-generic,524288,512,42,13900000,21000000
4.19.11-041911-generic,524288,512,43,17400000,24200000
4.19.11-041911-generic,524288,512,44,12900000,18900000
4.19.11-041911-generic,524288,512,45,13300000,24300000
4.19.11-041911-generic,524288,512,46,15400000,26600000
4.19.11-041911-generic,524288,512,47,15000000,15000000
4.19.11-041911-generic,524288,512,48,14200000,21400000
4.19.11-041911-generic,524288,512,49,17700000,14900000
4.19.11-041911-generic,524288,512,50,12500000,19500000
4.19.11-041911-generic,524288,512,51,12100000,22900000
4.19.11-041911-generic,524288,512,52,12400000,13600000
4.19.11-041911-generic,524288,512,53,14700000,28200000
4.19.11-041911-generic,524288,512,54,15600000,14800000
