Kernel,Filesize,Blocksize,Round,Write,Read
4.13.16-041316-generic,524288,512,1,25000000,19900000
4.13.16-041316-generic,524288,512,2,20300000,23300000
4.13.16-041316-generic,524288,512,3,18600000,31600000
4.13.16-041316-generic,524288,512,4,15300000,22100000
4.13.16-041316-generic,524288,512,5,19600000,29100000
4.13.16-041316-generic,524288,512,6,17500000,16400000
4.13.16-041316-generic,524288,512,7,21100000,21900000
4.13.16-041316-generic,524288,512,8,18100000,23800000
4.13.16-041316-generic,524288,512,9,12900000,18200000
4.13.16-041316-generic,524288,512,10,13900000,21400000
4.13.16-041316-generic,524288,512,11,19100000,23300000
4.13.16-041316-generic,524288,512,12,8600000,21900000
4.13.16-041316-generic,524288,512,13,3200000,24400000
4.13.16-041316-generic,524288,512,14,16600000,12600000
4.13.16-041316-generic,524288,512,15,11400000,24300000
4.13.16-041316-generic,524288,512,16,10800000,19000000
4.13.16-041316-generic,524288,512,17,12000000,18400000
4.13.16-041316-generic,524288,512,18,16900000,26700000
4.13.16-041316-generic,524288,512,19,17900000,14600000
4.13.16-041316-generic,524288,512,20,17600000,22600000
4.13.16-041316-generic,524288,512,21,13900000,23500000
4.13.16-041316-generic,524288,512,22,15600000,24300000
4.13.16-041316-generic,524288,512,23,15900000,19200000
4.13.16-041316-generic,524288,512,24,20700000,12600000
4.13.16-041316-generic,524288,512,25,20000000,22100000
4.13.16-041316-generic,524288,512,26,17000000,22100000
4.13.16-041316-generic,524288,512,27,18000000,22700000
4.13.16-041316-generic,524288,512,28,18700000,21500000
4.13.16-041316-generic,524288,512,29,14100000,20300000
4.13.16-041316-generic,524288,512,30,15500000,32100000
4.13.16-041316-generic,524288,512,31,11100000,24800000
4.13.16-041316-generic,524288,512,32,10400000,26100000
4.13.16-041316-generic,524288,512,33,16200001,27500000
4.13.16-041316-generic,524288,512,34,17100000,19100000
4.13.16-041316-generic,524288,512,35,8400000,16500000
4.13.16-041316-generic,524288,512,36,17400000,28300000
4.13.16-041316-generic,524288,512,37,15500000,12800000
4.13.16-041316-generic,524288,512,38,13200000,16000000
4.13.16-041316-generic,524288,512,39,20000000,17600000
4.13.16-041316-generic,524288,512,40,17500000,25900000
4.13.16-041316-generic,524288,512,41,20700000,29900000
4.13.16-041316-generic,524288,512,42,14000000,25600000
4.13.16-041316-generic,524288,512,43,18400000,32900001
4.13.16-041316-generic,524288,512,44,21100000,23800000
4.13.16-041316-generic,524288,512,45,18100000,21900000
4.13.16-041316-generic,524288,512,46,18900000,25000000
4.13.16-041316-generic,524288,512,47,18300000,24300000
4.13.16-041316-generic,524288,512,48,14300000,34100000
4.13.16-041316-generic,524288,512,49,15100000,24900000
4.13.16-041316-generic,524288,512,50,18400000,25100000
4.13.16-041316-generic,524288,512,51,16600000,32000000
4.13.16-041316-generic,524288,512,52,5600000,25400000
4.13.16-041316-generic,524288,512,53,18200000,26800000
4.13.16-041316-generic,524288,512,54,19500000,33500000
4.13.16-041316-generic,524288,512,55,19700000,31500000
4.13.16-041316-generic,524288,512,56,13700000,20400000
4.13.16-041316-generic,524288,512,57,14700000,18200000
4.13.16-041316-generic,524288,512,58,18600000,27300000
4.13.16-041316-generic,524288,512,59,19000000,25600000
4.13.16-041316-generic,524288,512,60,18200000,28700000
4.13.16-041316-generic,524288,512,61,20100000,21200000
4.13.16-041316-generic,524288,512,62,16500000,20900000
4.13.16-041316-generic,524288,512,63,16600000,22900000
4.13.16-041316-generic,524288,512,64,15100000,33800000
4.13.16-041316-generic,524288,512,65,21500000,21900000
4.13.16-041316-generic,524288,512,66,21100000,22600000
4.13.16-041316-generic,524288,512,67,29900000,20500000
4.13.16-041316-generic,524288,512,68,14700000,20100000
4.13.16-041316-generic,524288,512,69,19600000,18900000
4.13.16-041316-generic,524288,512,70,16400000,18200000
4.13.16-041316-generic,524288,512,71,20000000,22900000
4.13.16-041316-generic,524288,512,72,18600000,28700000
4.13.16-041316-generic,524288,512,73,13600000,22600000
4.13.16-041316-generic,524288,512,74,12100000,22400000
4.13.16-041316-generic,524288,512,75,20300000,21200000
4.13.16-041316-generic,524288,512,76,19500000,20200000
4.13.16-041316-generic,524288,512,77,14300000,33700000
4.13.16-041316-generic,524288,512,78,21500000,33600000
4.13.16-041316-generic,524288,512,79,16800000,19400000
4.13.16-041316-generic,524288,512,80,15500000,22400000
4.13.16-041316-generic,524288,512,81,14700000,28400000
4.13.16-041316-generic,524288,512,82,14800000,20100000
4.13.16-041316-generic,524288,512,83,18200000,22100000
4.13.16-041316-generic,524288,512,84,19500000,22200000
4.13.16-041316-generic,524288,512,85,20800000,33700000
4.13.16-041316-generic,524288,512,86,19800000,21600000
4.13.16-041316-generic,524288,512,87,18900000,22400000
4.13.16-041316-generic,524288,512,88,15400000,19000000
4.13.16-041316-generic,524288,512,89,14700000,25100000
4.13.16-041316-generic,524288,512,90,19400000,23300000
4.13.16-041316-generic,524288,512,91,18500000,20300000
4.13.16-041316-generic,524288,512,92,14500000,34000000
4.13.16-041316-generic,524288,512,93,18400000,23400000
4.13.16-041316-generic,524288,512,94,14800000,18600000
4.13.16-041316-generic,524288,512,95,20200000,22600000
4.13.16-041316-generic,524288,512,96,19600000,24700000
